,kashiwa,baba,mito,tanukikozi,oyama,isesaki,honatsugi,kawasaki,takasaki,mini_tomakomai,mini_shibuya,shintsudanuma,shibuya_center,fuzisawa,kitizyozi,asahikawa,maehashi,sapporo,kawagoe
order_bestie,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_virgo,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_don't_let_me_down,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_code,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_presence,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_ember,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_devilish,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_viorently,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_go_deep,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_baby_baby_baby,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_no_scrubs,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_sunny,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_get_over_it,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_watch_out,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_cosmic,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_realize,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_adorable,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_genius,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_revibe,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_zebra,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_fact,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_progress,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_cruel_world,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_confidence,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_stayfocused,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_tactics,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_savage,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_orange,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_victory,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_newage,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_geddess_of_victory,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_just_be_you,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_run_2_win,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_hypnotize,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_good_fortune,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_violet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_tamashi,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_bet,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
order_bee_and_butterfly,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
